aluno_id,escola_id,professor_id,exper_prof,faltas,nota_port,nota_matem,aluno_sexo,aluno_negro,professor_branco,alimentacao,escola_urbana,escola_rural
10133,169280,16928003,7,5,427,478,1,1,1,0,0,0
10246,218562,21856202,8,28,450,494,0,0,1,0,1,0
10263,205492,20549204,3,2,483,513,0,1,1,1,0,0
10266,257899,25789904,12,10,456,513,1,0,1,0,0,1
10275,161176,16117602,2,3,411,468,1,0,1,0,0,1
10281,189382,18938204,7,2,443,473,1,0,1,0,0,0
10282,189382,18938203,14,7,448,449,1,0,1,1,0,0
10285,201449,20144901,4,8,463,520,0,0,1,1,0,1
10286,230612,23061203,6,2,472,536,1,0,1,0,0,1
10287,128068,12806803,11,17,428,484,1,0,1,0,0,1
10289,262937,26293701,16,8,545,626,1,0,1,0,0,0
10290,169219,16921902,12,0,408,454,1,1,1,0,0,0
10291,169229,16922904,5,31,422,439,1,0,0,0,0,0
10292,205491,20549104,17,7,472,528,0,0,1,0,0,0
10295,161176,16117604,6,20,437,463,0,0,1,1,0,1
10299,168211,16821101,10,7,450,484,0,0,1,0,0,1
10300,173312,17331203,13,2,497,547,0,0,1,0,0,1
10302,234628,23462803,9,19,460,576,0,0,1,1,0,1
10303,244831,24483102,18,24,408,449,1,0,0,0,0,0
10308,189382,18938204,7,8,467,576,1,0,1,0,0,0
10311,253888,25388801,13,9,403,392,1,0,1,0,0,1
10312,244755,24475504,1,7,411,444,1,1,0,0,1,0
10313,218562,21856201,14,4,490,559,1,0,1,1,1,0
10316,262937,26293703,18,19,503,576,0,0,1,0,0,0
10319,244801,24480103,8,3,442,547,1,0,0,0,0,0
10321,189396,18939602,4,4,443,484,0,0,1,1,0,1
10322,212522,21252201,NA,15,403,459,0,0,0,0,1,0
10323,253888,25388801,13,26,424,444,1,0,1,1,0,1
10326,205491,20549104,17,6,413,459,0,0,1,0,0,0
10329,262937,26293702,15,5,495,576,0,0,1,0,0,0
10330,262937,26293701,16,10,451,528,0,0,1,1,0,0
10331,221571,22157103,13,3,413,468,0,1,1,1,0,1
10332,205489,20548903,3,15,393,429,0,1,1,1,0,0
10333,205491,20549104,17,13,398,444,0,0,1,0,0,0
10334,218562,21856203,11,2,483,506,0,0,1,1,1,0
10379,162184,16218404,2,1,431,500,0,0,1,0,0,1
10381,244736,24473601,11,12,421,459,0,1,1,1,1,0
10383,244818,24481802,10,7,419,468,0,1,0,1,1,0
